Incubation Period (days),Na (ppm or mg/L),Mg (ppm or mg/L),K (ppm or mg/L),Ca (ppm or mg/L),Li (ppm or mg/L),B (ppm or mg/L),Si (ppm or mg/L),Mn (ppm or mg/L),Zn (ppm or mg/L),Sr (ppm or mg/L),Ba (ppm or mg/L),Final pH,DIC (mg/L),alpha 0,alpha 1,alpha 2,Carbonic Acid (H2CO3),Bicarbonate (HCO3-),Carbonate (CO3^2-),,g/mol C,DIC (mols),carbonic acid (mols),bicarbonate (mols),carbonate (mols)
3,20.3238,5.6796,8.7609,69.6296,0.0046,0.675,4.5806,0.055,0.2806,0.1807,0.9388,6.66,7.99816214,0.303822778,0.696017774,0.000159448,2.430023838,5.566863007,0.001275295,,12.011,1.99771E-05,4.85448E-05,0.000270242,3.44639E-07
3,10.4981,5.884,10.8886,70.368,0.0051,0.6841,5.5219,0.0953,0.3271,0.2131,1.3722,6.65,7.746372428,0.308716074,0.691129201,0.000154725,2.391429686,5.353744188,0.001198554,,12.011,1.93482E-05,4.62698E-05,0.000247717,2.96902E-07
3,17.3066,6.0279,7.5402,68.7596,0.005,1.0762,5.9877,0.047,0.012,0.2054,1.0631,6.69,8.078593612,0.28940951,0.710416104,0.000174386,2.338021817,5.739162998,0.001408797,,12.011,2.0178E-05,4.71766E-05,0.000270754,3.81438E-07
7,17.0005,10.6042,13.1826,196.1177,0.0062,0.3735,7.2864,0.7176,0.4796,0.3817,1.1646,6.27,8.754783258,0.517239222,0.482715728,4.50E-05,4.52831728,4.226071577,0.0003944,,12.011,2.18669E-05,9.90203E-05,0.000418467,1.65043E-07
7,15.2859,11.2707,10.054,200.1634,0.0065,0.3935,7.0448,1.0023,0.5842,0.4162,1.322,6.24,11.49714062,0.534462275,0.465497182,4.05E-05,6.144787931,5.351886556,0.00046613,,12.011,2.87165E-05,0.000176457,0.000944378,4.40203E-07
7,13.3263,10.9177,8.4354,195.2401,0.0059,0.3061,7.5389,0.8793,0.0504,0.391,1.0468,6.24,10.39176736,0.534462275,0.465497182,4.05E-05,5.554007628,4.837338422,0.000421315,,12.011,2.59556E-05,0.000144158,0.00069734,2.93799E-07
21,15.4658,12.5845,9.2672,209.7181,0.0075,0.4102,10.2526,1.1393,0.8335,0.4184,1.3727,6.21,7.016096232,0.551603444,0.448360112,3.64E-05,3.870102844,3.145737692,0.000255695,,12.011,1.75242E-05,6.78204E-05,0.000213345,5.45513E-08
21,14.275,12.1988,10.1578,210.6356,0.0072,0.3678,8.646,1.4665,0.5723,0.4076,1.3159,6.35,10.30481206,0.47122148,0.528719197,5.93E-05,4.855848791,5.448351954,0.000611315,,12.011,2.57384E-05,0.000124982,0.000680946,4.16272E-07
21,13.7797,13.9334,11.9927,237.4149,0.0073,0.3525,10.139,1.5758,0.028,0.4643,1.2511,6.29,7.232752488,0.505731782,0.494219921,4.83E-05,3.657832804,3.574570364,0.00034932,,12.011,1.80653E-05,6.60799E-05,0.000236207,8.2512E-08
3 day st dev mean,2.90596655,0.101049894,0.978348902,0.464822853,0.000152753,0.132242761,0.413853553,0.014946163,0.098205063,0.009772808,0.128847209,0.012018504,0.100066144,,,,0.026673209,0.111468625,6.14249E-05,,,,,,
7 day st dev mean,1.061435897,0.192514574,1.393315625,1.516149237,0.000173205,0.026438104,0.142645953,0.082438523,0.163315686,0.010305824,0.079717083,0.01,0.796593123,,,,0.472231077,0.325394317,2.09205E-05,,,,,,
21 day st dev mean,0.500347654,0.525839691,0.802370676,9.083212369,8.81917E-05,0.017258074,0.51763981,0.131135761,0.237266632,0.017381887,0.03512821,0.04055175,1.061972529,,,,0.369082643,0.706988423,0.000106425,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
3 day mean,16.04283333,5.863833333,9.063233333,69.58573333,0.0049,0.811766667,5.3634,0.065766667,0.206566667,0.199733333,1.1247,6.666666667,7.941042727,,,,2.38649178,5.553256731,0.001294215,,,,,,
3 day st dev,5.033281709,0.175023551,1.694550006,0.805096797,0.000264575,0.229051181,0.716815381,0.025887513,0.170096159,0.016927,0.223169913,0.02081666,0.173319645,,,,0.046199353,0.193069321,0.000106391,,,,,,
3 day st dev mean,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
7 day mean,15.20423333,10.93086667,10.55733333,197.1737333,0.0062,0.3577,7.290033333,0.8664,0.3714,0.3963,1.1778,6.25,10.21456375,,,,5.409037613,4.805098852,0.000427281,,,,,,
,1.838460903,0.333445023,2.413293454,2.62604751,0.0003,0.045792139,0.247070037,0.14278771,0.282871066,0.01785021,0.138074038,0.017320508,1.379739762,,,,0.817928218,0.563599489,3.62353E-05,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21 day mean,14.50683333,12.90556667,10.47256667,219.2562,0.007333333,0.376833333,9.6792,1.393866667,0.477933333,0.4301,1.313233333,6.283333333,8.184553593,,,,4.127928146,4.056220004,0.000405444,,,,,,
21 day st dev,0.866627557,0.910781062,1.389746777,15.73258532,0.000152753,0.029891861,0.896578452,0.227133801,0.410957861,0.030106312,0.060843844,0.070237692,1.839390377,,,,0.639269889,1.224539869,0.000184333,,,,,,
